Gard ID,identifiers,Number of Matches,QID,Match Gard ID
10591,OMIM:612475 | ORPHANET:250994 | UMLS:C2675891,1,Q2692054 | ,True
3738,OMIM:612530 | ORPHANET:250999 | UMLS:C2931584,1,Q21154068 | ,True
5332,UMLS:C0265479,0,,
3739,ORPHANET:1611 | UMLS:C2930887,0,,
5333,UMLS:C2930888,1,Q55786551 | ,False
10857,,0,,
10856,,0,,
5413,UMLS:C2931324 | ORPHANET:263064,0,,
10860,ORPHANET:574,1,Q55788409 | ,False
10858,,0,,
8668,,0,,
10862,,0,,
10836,,0,,
5337,UMLS:C0795803,0,,
3744,UMLS:C0795804,0,,
5340,UMLS:C0795805,0,,
3746,ORPHANET:1617 | UMLS:C2931816,1,Q55785558 | ,False
37,UMLS:C0795806,0,,
5343,UMLS:C0795807,0,,
3750,UMLS:C2931337 | OMIM:613792 | ORPHANET:1620,1,Q21154070 | ,False
10838,,0,,
5345,UMLS:C0795809,0,,
10360,OMIM:611936 | ORPHANET:251038,1,Q21505486 | ,True
6090,,0,,
6091,ORPHANET:1738,1,Q55785701 | ,False
1340,,0,,
5347,ORPHANET:1739 | UMLS:C0795812,0,,
5415,,0,,
10842,,0,,
6093,ORPHANET:1742 | UMLS:C2931575,1,Q55785702 | ,False
10840,,0,,
5351,UMLS:C1802398,0,,
10843,,0,,
5352,UMLS:C2931621,0,,
3760,UMLS:C0795816,0,,
5353,,0,,
3764,OMIM:612863 | ORPHANET:251056 | UMLS:C2931620,1,Q21124548 | ,False
1346,,0,,
5355,UMLS:C0795820,0,,
3765,UMLS:C1513483,0,,
5357,UMLS:C0795821,0,,
3768,UMLS:C0795824,0,,
5361,UMLS:C0795825,0,,
3769,UMLS:C2931638 | ORPHANET:251071,1,Q55786361 | ,False
3770,UMLS:C0795828,0,,
5362,UMLS:C0795829 | ORPHANET:1752,1,Q55785706 | ,False
12814,OMIM:615583,1,Q55784756 | ,False
3773,UMLS:C0795830 | ORPHANET:261112,1,Q3321253 | ,False
5364,UMLS:C0265428,0,,
10844,,0,,
7821,UMLS:C0795834,0,,
10978,,0,,
11002,,0,,
5369,,0,,
3776,OMIM:300475 | UMLS:C2931312,1,Q55999520 | ,False
9534,OMIM:226990,1,Q5384031 | ,True
10811,OMIM:256040 | ORPHANET:325004,2,Q6960193 | Q26689941 | ,
1352,,0,,
1130,UMLS:C2930941,0,,
6099,,0,,
10964,,0,,
6100,ORPHANET:379 | UMLS:C0018203,1,Q2165663 | ,True
6657,ORPHANET:396,1,Q55787963 | ,True
6102,OMIM:139393 | ORPHANET:2932 | UMLS:C0393819,3,Q205214 | Q50357589 | Q1088030 | ,
12744,ORPHANET:2978,1,Q56014002 | ,True
10779,ORPHANET:284448,1,Q29103411 | ,True
6104,UMLS:C0023434 | OMIM:151400,1,Q1088156 | ,True
6105,OMIM:608232 | ORPHANET:521 | UMLS:C0023473,1,Q729735 | ,True
8225,UMLS:C0023480,2,Q2578247 | Q1088072 | ,
9319,UMLS:C1292778,1,Q18555039 | ,False
10585,UMLS:C0023481,1,Q1088057 | ,True
1355,,0,,
4503,UMLS:C0162674,1,Q2026857 | ,True
6108,OMIM:259680 | UMLS:C0410422 | ORPHANET:324964,1,Q2787011 | ,False
13124,ORPHANET:70591 | OMIM:612862,1,Q1958249 | ,True
1358,OMIM:253320 | ORPHANET:3068 | UMLS:C1854663,1,Q55782121 | ,False
86,OMIM:604213 | UMLS:C1858695,1,Q9390217 | ,True
9683,OMIM:246700 | ORPHANET:71 | UMLS:C0795956,1,Q959211 | ,True
10156,OMIM:603523 | UMLS:C0340014,1,Q27674744 | ,True
1359,OMIM:208300 | ORPHANET:1160,1,Q15727012 | ,True
5913,ORPHANET:46486,0,,
6113,UMLS:C0008775,0,,
1360,UMLS:C0340038,1,Q55781752 | ,True
2982,OMIM:242680 | UMLS:C0340036,1,Q55998638 | ,True
1361,,0,,
1362,,0,,
3589,OMIM:156610 | ORPHANET:2505 | UMLS:C0473586,1,Q6836884 | ,True
1365,,0,,
1366,,0,,
9949,OMIM:215720 | UMLS:C1859084,1,Q55781755 | ,True
6114,OMIM:215700 | ORPHANET:187,1,Q859142 | ,False
9994,UMLS:C2931130,1,Q47483025 | ,True
10277,OMIM:314100,1,Q5160412 | ,False
12665,ORPHANET:90794,1,Q4127185 | ,True
13639,ORPHANET:79239,1,Q5517832 | ,False
2088,ORPHANET:287 | OMIM:130000,2,Q1141499 | Q3508606 | ,
8507,OMIM:606408 | UMLS:C1848029 | ORPHANET:230839,1,Q55783453 | ,False
9574,,0,,
1369,OMIM:119100 | ORPHANET:3329 | UMLS:C1861553,2,Q25379322 | Q55780423 | ,
1371,,0,,
1375,,0,,
1381,,0,,
1382,,0,,
1383,,0,,
1386,,0,,
1388,,0,,
1389,,0,,
1391,UMLS:C0795898,1,Q55373613 | ,True
1392,ORPHANET:2015,1,Q55785908 | ,True
1393,OMIM:216300,1,Q55781757 | ,True
1394,OMIM:303400 | UMLS:C1844830,1,Q27164422 | ,True
13480,OMIM:600987,1,Q55782890 | ,False
10063,OMIM:609466 | UMLS:C1836120,1,Q55783677 | ,True
1395,UMLS:test,0,,
6118,OMIM:119600 | ORPHANET:1452 | UMLS:C0008928,1,Q781618 | ,True
10623,OMIM:216330 | UMLS:C1859080,1,Q781618 | ,False
5532,OMIM:119650 | ORPHANET:1453 | UMLS:C1861515,1,Q7963156 | ,True
11970,,0,,
11969,,0,,
9771,,0,,
2056,OMIM:129500 | ORPHANET:189,1,Q5135822 | ,True
10939,OMIM:612918 | ORPHANET:140944,1,Q22115476 | ,True
9272,,0,,
1409,,0,,
1410,OMIM:216360 | ORPHANET:1454 | UMLS:C1857662,2,Q25326623 | Q55345703 | ,
8356,,0,,
1412,ORPHANET:1967,0,,
12571,ORPHANET:397725 | OMIM:615643,1,Q32140763 | ,False
6121,OMIM:300216 | ORPHANET:190 | UMLS:C0154832,1,Q915322 | ,True
11892,ORPHANET:53721,1,Q3775046 | ,True
1413,UMLS:C0432371,1,Q7240522 | ,True
9525,,0,,
5168,UMLS:C0009193,0,,
9418,OMIM:120040 | UMLS:C1861512,1,Q55780429 | ,True
6122,ORPHANET:191,4,Q55345704 | Q55346083 | Q55346084 | Q914389 | ,
1415,OMIM:216400 | ORPHANET:90321 | UMLS:C0751039,3,Q55346083 | Q55346084 | Q914389 | ,
1420,ORPHANET:90322 | OMIM:133540,3,Q55346083 | Q55346084 | Q914389 | ,
1417,OMIM:216411 | ORPHANET:90324 | UMLS:C0751037,4,Q55345704 | Q55346083 | Q55346084 | Q914389 | ,
1418,OMIM:600373 | ORPHANET:1458 | UMLS:C1838180,1,Q54319441 | ,True
1419,,0,,
10423,OMIM:607426 | ORPHANET:35656 | UMLS:C1843920,2,Q60195088 | Q5140809 | ,
8589,UMLS:C0795900,1,Q1106881 | , has more than one gard id
6123,OMIM:303600 | ORPHANET:192,1,Q1106881 | , has more than one gard id
6124,OMIM:135900 | ORPHANET:1465 | UMLS:C0265338,2,Q2348105 | Q50349616 | ,
10226,OMIM:611209 | ORPHANET:263508,1,Q60195114 | ,True
12412,ORPHANET:263501 | OMIM:613489,1,Q60195118 | ,True
12348,OMIM:613612 | ORPHANET:263487,1,Q60195116 | ,True
10944,OMIM:614576,1,Q60195120 | ,True
9842,ORPHANET:79333 | OMIM:608779,1,Q60195111 | ,True
12411,ORPHANET:95428 | OMIM:611182,1,Q60195115 | ,True
1421,,0,,
6125,ORPHANET:98980 | UMLS:C1168173,1,Q18553732 | ,True
1423,,0,,
6126,OMIM:216550 | ORPHANET:193 | UMLS:C0265223,1,Q1107087 | ,True
6130,ORPHANET:56425,2,Q3961632 | Q56014227 | ,
6131,,0,,
